     316      2.25      91     719     146.4     -20.4
     690      2.50     440      19    314.80     30.10
     809      2.75     534      22    309.50     19.40
      40      3.08    -268      15    142.10     40.50
     821      3.16     505      15    309.00     23.50
     674      3.88     286      89     321.4      87.1
    5881      4.15    5466     157     242.4      17.0
     373      4.68     -95     133     144.9     -24.1
    1468      5.36     932     179     319.4      27.6
    4917      5.40    4377     204     348.7      65.5
    1094      5.89     505     146     198.4      86.5
     360      6.57    -297     199     101.9      59.7
    1307      6.70     637     131    252.50    -15.90
    1202      6.83     519     185     251.4      18.5
    1079      6.98     381      48    242.00     64.40
    1632      7.33     898     144    299.70     37.50
    1639      7.42     897     145    228.60     85.30
    5535      7.45    4790     356     164.8     -11.8
    1747      7.68     979     151    305.80     13.30
     426      7.70    -344      39    144.40    -23.80
     813      7.70      42     151    310.20     14.10
     826      7.92      34      94     330.8     -24.5
    1288      8.17     472      53    234.40     57.00
     848      8.18      30     156     208.7      44.5
    1128      8.37     291      89    333.30    -23.10
     435      8.42    -407     177     356.6     -71.1
    1247      8.55     392      23    232.50     57.20
     636      8.58    -222     216     105.1      68.9
     810      8.62     -52     193     226.8     -34.6
    1477      8.63     614     194     300.0      88.5
    1699      8.66     833      85    303.70     54.80
    1001      8.68     133     165     235.2      58.6
    1208      8.77     330      86    233.00     57.80
    1317      8.84     433     202     110.3     -70.9
    2064      8.93    1171     264     311.9      41.2
    1561      9.05     656      58    301.60     57.10
     423      9.44    -521     263     144.0     -17.5
     714      9.45    -231     181     334.9     -32.8
     745      9.57    -212     188     92.00     52.50
     703      9.61    -258     191     350.3     -54.8
    1460      9.74     486     306     286.3     -39.2
     636      9.78    -342     140     190.5      38.8
     402      9.96    -594     225     101.1      26.8
     474     10.16    -542      69     93.20    -20.70
    1504     10.17     487     209     273.0      33.4
     979     10.21     -42     209     176.0      59.3
    1007     10.23     -16     201    252.00     16.40
     481     10.26    -545     171     141.3     -47.1
     857     10.32    -175     196     170.6      53.6
    1940     10.39     901      91    300.90     60.10
    1595     10.46     549     219     231.8      86.2
    3793     10.48    2745     347     110.0     -67.5
     452     10.56    -604     173     100.6      45.0
    1234     10.58     176     266     268.3     -19.4
    1449     10.59     390     229     172.7      85.0
     994     10.62     -68     188     239.5     -27.4
    1294     10.64     230     147     274.9     -40.8
    1211     10.74     137     210    158.00     48.30
     888     10.80    -192     181      97.4      43.4
     655     10.91    -436     138     169.6      33.4
    1286     10.95     191     220     273.9     -33.4
    1031     11.00     -69     216    247.20     37.00
    1073     11.02     -29      76    260.20    -47.20
     488     11.04    -616     191      93.4     -21.0
    1679     11.07     572     140    240.20    -56.70
    1615     11.24     490     220    316.00     12.90
    1286     11.28     158      68    297.70     65.50
    1113     11.32     -19      62    146.50     67.70
    1726     11.37     589     252     310.4      24.4
    1228     11.40      88      30    283.90     74.20
    1413     11.40     273      54     282.0      75.1
    1664     11.48     516     233     304.2      52.4
    1054     11.49     -95     234     145.7      80.8
     838     11.54    -316     329     134.2     -61.4
    1463     11.57     306     161    226.80     62.20
    1259     11.59     100      93    278.20     74.50
    1392     11.65     227     411     268.4      30.1
     809     11.67    -358     449    166.90     44.10
     755     11.74    -419     173     354.7     -63.2
    2281     11.76    1105     218     174.1      35.2
    1036     11.77    -141     349     119.9     -72.7
    1357     11.79     177     231    250.70    -16.90
    1179     11.82      -3     232    266.00    -12.10
    1294     11.86     108     248      92.0     -38.5
    1696     11.87     509     224     310.0      38.6
    1250     11.91      59     203     259.2     -30.8
    1331     11.93     138     324     315.8      24.1
    2158     11.94     964     113    293.00     64.70
    1528     12.25     303     184       0.4      60.1
    2219     12.38     981     128     288.9      71.0
    1041     12.40    -199     207     263.2     -41.9
    1099     12.43    -144     272     273.3     -50.8
     995     12.53    -258     283     268.2     -53.4
    1296     12.55      41     246     97.00    -49.50
     480     12.55    -775     235     150.9     -31.7
     671     12.56    -585     241     199.6     -30.0
    1371     12.59     112     332     281.4     -40.7
    4412     12.61    3151     681     102.6      35.9
    1285     12.63      22      62    192.60     82.20
    2167     12.70     897     789      98.8     -41.0
    1364     12.73      91     298     294.4      54.7
    1335     12.76      59     277     251.7      67.2
    1182     12.77     -95     328      96.1      76.8
     347     12.79    -932     251    144.40    -31.50
    1306     12.80      26     151     247.4      66.2
    1473     12.81     192     339      33.4     -51.1
    1181     12.85    -104     332     261.4     -22.1
    1230     12.85     -55     358    101.60     79.30
     990     12.88    -298     299     202.2      65.8
    1129     12.93    -164     174      91.6      80.3
    1642     13.01     341      62    223.10     84.80
    1716     13.02     415     255    277.20     31.20
    1264     13.05     -41     236     152.2     -39.0
    1480     13.09     171      23    281.30     74.60
     788     13.10    -522     364     109.9     -50.6
    1578     13.23     255     377     284.0     -13.9
    1738     13.30     407      70    235.90    -54.10
    1349     13.32      17     400     202.0     -81.9
    1149     13.35    -186     255     328.5     -14.0
    1096     13.36    -240     148     298.9      66.8
    5847     13.39    4508     164      10.3     -26.8
    1255     13.42     -87     300      32.1      71.2
    1369     13.48      21     335     188.3     -80.1
    2551     13.49    1202     330     130.7     -21.3
    1427     13.53      74     370     124.1     -70.1
     981     13.53    -372     360     174.5      83.2
    1321     13.54     -33      61    236.70    -53.60
    3849     13.55    2494     522     303.2      31.0
    1331     13.56     -25      56    236.20    -54.10
    1309     13.57     -48     329     271.0     -28.8
    1202     13.59    -157     266    231.70    -46.70
    1955     13.65     590     268    330.80    -14.00
    1560     13.67     193     375     164.2     -68.2
